,DateTime,Open,High,Low,Close,Volume
38928,2024-03-07 13:43:00,918.7,919.2499,918.53,918.6804,31589
38929,2024-03-07 13:44:00,918.6625,918.9,918.45,918.6099,22542
38930,2024-03-07 13:45:00,918.61,918.61,918.1,918.2159,25058
38931,2024-03-07 13:46:00,918.23,918.8,917.9,918.5001,43094
38932,2024-03-07 13:47:00,918.6465,919.07,918.04,918.445,31630
38933,2024-03-07 13:48:00,918.4221,918.4321,917.56,917.75,44223
38934,2024-03-07 13:49:00,917.6027,918.095,917.6,917.995,32616
38935,2024-03-07 13:50:00,918.04,919.1758,918.01,919.1758,61476
38936,2024-03-07 13:51:00,919.0001,919.17,918.3601,918.5311,35455
38937,2024-03-07 13:52:00,918.77,919.64,918.72,919.55,50984
38938,2024-03-07 13:53:00,919.64,919.8,919.0701,919.244,82053
38939,2024-03-07 13:54:00,919.2772,919.7,919.07,919.3512,39470
38940,2024-03-07 13:55:00,919.38,919.6416,918.4,918.76,37397
38941,2024-03-07 13:56:00,918.888,919.35,918.55,919.17,27034
38942,2024-03-07 13:57:00,919.1376,919.35,918.71,918.71,29394
38943,2024-03-07 13:58:00,918.72,919.3,918.64,919.205,23331
38944,2024-03-07 13:59:00,919.11,919.49,918.97,919.265,29386
38945,2024-03-07 14:00:00,919.3899,919.42,917.3,918.407,102915
38946,2024-03-07 14:01:00,918.49,919.01,917.85,918.98,48542
38947,2024-03-07 14:02:00,918.985,919.69,918.8123,919.4243,75909
38948,2024-03-07 14:03:00,919.35,921.9424,919.35,921.8766,364095
38949,2024-03-07 14:04:00,921.935,922.2,921.01,921.77,118246
38950,2024-03-07 14:05:00,921.84,921.98,921.11,921.38,69479
38951,2024-03-07 14:06:00,921.38,922.73,921.348,922.33,176807
38952,2024-03-07 14:07:00,922.4,922.98,921.76,922.66,110537
38953,2024-03-07 14:08:00,922.785,922.91,921.7,921.78,65446
38954,2024-03-07 14:09:00,921.73,921.8799,920.84,921.79,91940
38955,2024-03-07 14:10:00,921.6839,923.0,921.61,922.785,111586
38956,2024-03-07 14:11:00,922.6522,923.86,922.6522,922.945,109563
38957,2024-03-07 14:12:00,923.09,923.59,922.6,922.8901,56896
38958,2024-03-07 14:13:00,922.9168,923.4399,922.2901,923.1542,76276
38959,2024-03-07 14:14:00,923.1835,924.5,922.9901,924.29,137263
38960,2024-03-07 14:15:00,924.12,924.5,923.5701,923.9818,87163
38961,2024-03-07 14:16:00,924.05,924.2499,923.62,924.01,58416
38962,2024-03-07 14:17:00,924.1,924.15,923.62,923.85,47532
38963,2024-03-07 14:18:00,923.67,924.33,923.55,923.875,102409
38964,2024-03-07 14:19:00,923.9,924.2,923.64,923.964,53581
38965,2024-03-07 14:20:00,923.965,924.3,923.07,924.2,90298
38966,2024-03-07 14:21:00,924.1044,924.98,923.82,924.03,133626
38967,2024-03-07 14:22:00,923.986,924.64,923.07,924.22,93437
38968,2024-03-07 14:23:00,924.22,924.85,924.19,924.36,64530
38969,2024-03-07 14:24:00,924.26,924.5,923.4,924.2671,54598
